02/09/2022,Wednesday,7:10:00 PM,7:28:00 PM,Turtle Bay,20.68,3.3,1.1
02/09/2022,Wednesday,7:45:00 PM,8:07:00 PM,Smoke & Glaze,19.79,2.4,1.1
02/09/2022,Wednesday,8:11:00 PM,8:29:00 PM,Pinkmans,18.42,2.4,1.1
02/09/2022,Wednesday,8:29:00 PM,8:54:00 PM,Taka Taka,32.90,3.2,1.1
02/09/2022,Wednesday,8:56:00 PM,9:17:00 PM,Nandos,18.61,1.7,1.1
02/09/2022,Wednesday,9:27:00 AM,9:58:00 AM,Salamabites,17.39,1.3,1.1
02/09/2022,Wednesday,10:03:00 PM,10:19:00 PM,Creams,18.47,2.8,1.1
04/09/2022,Friday,6:38:00 PM,7:06:00 PM,Chandos Fish Bar,33.46,4.5,1.3
04/09/2022,Friday,7:09:00 PM,7:31:00 PM,Pho,25.05,0.3,1.3
04/09/2022,Friday,7:31:00 PM,7:46:00 PM,Tuk Tuck,25.29,4.3,1.3
04/09/2022,Friday,7:52:00 PM,8:25:00 PM,The Real Greek,25.19,2.5,1.3
04/09/2022,Friday,8:36:00 PM,9:00:00 PM,GBK,26.88,2.3,1.3
04/09/2022,Friday,9:04:00 PM,9:22:00 PM,Reel Soul,23.59,3.6,1.1
04/09/2022,Friday,9:48:00 AM,10:02:00 AM,Pho,17.34,2,1.1
06/09/2022,Sunday,5:53:00 PM,6:15:00 PM,KFC,21.90,2.4,1.2
06/09/2022,Sunday,6:15:00 PM,6:32:00 PM,Pizza Hut,24.35,2.5,1.2
06/09/2022,Sunday,6:32:00 PM,6:43:00 PM,Subway,21.43,0.9,1.2
